house_id,house_size,bedrooms,bathrooms,lot_size,year_built,stories,garage_cars,location,condition,has_pool,sale_date,price
H-0121,2274,4,2.0,6850.0,1988.0,1,2.0,Downtown,Poor,No,2020-12-14,362926
H-0122,1254,3,2.5,3806.0,1954.0,2,2.0,Waterfront,Poor,No,2022-08-30,198273
H-0123,2641,6,2.5,7473.0,1974.0,2,3.0,Downtown,Average,No,2023-02-04,614813
H-0124,958,1,1.0,1656.0,2005.0,1,2.0,Downtown,Good,No,2022-11-27,249567
H-0125,2152,4,2.0,5622.0,2013.0,2,1.0,Industrial,Fair,No,2021-08-21,174770
H-0126,3114,4,2.5,12452.0,2021.0,1,2.0,Rural,Good,No,2022-04-14,384303
H-0127,1205,4,3.0,4323.0,2001.0,3,2.0,Downtown,Average,No,2022-12-07,339649
H-0128,1460,2,2.5,5451.0,1958.0,2,2.0,Industrial,Excellent,No,2020-07-18,183157
H-0129,1859,5,2.0,6614.0,1959.0,2,2.0,Downtown,Average,No,2021-01-19,418225
H-0130,1497,2,1.0,2631.0,1959.0,1,2.0,Rural,Poor,No,2024-01-30,116401
H-0131,869,4,2.0,,2022.0,3,2.0,Downtown,Good,No,2021-07-27,269334
H-0132,1841,3,1.5,2775.0,2011.0,2,2.0,Rural,Fair,No,2023-09-03,162736
H-0133,1162,3,3.5,2624.0,2009.0,1,2.0,Suburbs,Good,No,2021-02-24,246849
H-0134,2084,3,2.5,3691.0,1968.0,2,2.0,Suburbs,Average,No,2020-03-10,306482
H-0135,1248,3,2.0,3347.0,1987.0,1,2.0,Rural,Average,No,2022-04-17,174159
H-0136,2729,2,3.0,8713.0,1955.0,3,0.0,Rural,Good,No,2024-02-03,281813
H-0137,1330,2,2.5,,1964.0,3,0.0,Rural,Average,Yes,2023-10-03,163538
H-0138,1606,3,2.0,5417.0,1996.0,3,3.0,Waterfront,Fair,Yes,2021-02-27,405346
H-0139,2288,4,3.0,8800.0,1994.0,2,1.0,Suburbs,Good,Yes,2024-03-03,426927
H-0140,1061,5,3.5,1734.0,1954.0,2,2.0,Suburbs,Average,No,2022-03-14,199126
H-0141,1936,2,3.0,2962.0,2002.0,1,3.0,Rural,Average,No,2020-03-23,221265
H-0142,2584,3,1.0,8148.0,2015.0,1,,Rural,Good,Yes,2020-02-16,295911
H-0143,835,2,2.5,1856.0,2011.0,1,2.0,Suburbs,Fair,No,2022-03-23,162027
H-0144,1910,1,3.0,4075.0,1972.0,2,2.0,Suburbs,Average,No,2022-07-03,268364
H-0145,1955,4,1.5,4549.0,1993.0,3,3.0,Suburbs,Good,No,2020-05-13,389427
H-0146,2269,4,2.0,4933.0,2001.0,3,1.0,Industrial,Good,No,2024-03-23,226938
H-0147,1057,2,3.5,2936.0,1995.0,1,1.0,Suburbs,Average,Yes,2023-04-17,203940
H-0148,1007,3,1.0,2618.0,1968.0,2,3.0,Suburbs,Average,Yes,2023-09-03,192274
H-0149,2113,1,3.0,5876.0,1996.0,2,1.0,Suburbs,Average,No,2022-09-04,314369
H-0150,1978,4,2.5,6293.0,2001.0,2,2.0,Waterfront,Average,No,2023-01-15,507394
H-0151,1950,6,2.0,4812.0,1973.0,2,2.0,Waterfront,Fair,No,2021-10-11,473710
H-0152,2007,2,1.0,4271.0,1966.0,2,1.0,Waterfront,Average,No,2023-02-11,403928
H-0153,1391,3,3.0,2664.0,1995.0,3,3.0,Waterfront,Average,No,2024-06-25,424118
H-0154,1939,5,2.0,4602.0,2013.0,2,2.0,Suburbs,Poor,No,2022-12-20,248005
H-0155,1975,5,2.5,6625.0,1977.0,2,0.0,Suburbs,Poor,No,2021-07-25,225321
H-0156,1371,3,3.0,4650.0,1999.0,1,1.0,Rural,Average,No,2021-04-22,160482
H-0157,2919,2,3.0,9245.0,2013.0,1,1.0,Suburbs,Average,No,2024-05-31,426480
H-0158,2084,1,4.0,4345.0,1977.0,2,1.0,Suburbs,Good,No,2020-11-05,319106
H-0159,1085,4,2.5,3222.0,2005.0,2,2.0,Waterfront,Good,Yes,2023-09-11,378594
H-0160,2193,3,2.0,6418.0,2008.0,3,0.0,Rural,Fair,No,2022-02-17,238517
H-0161,1215,1,4.0,3293.0,1954.0,2,2.0,Industrial,,No,2022-01-12,127992
H-0162,2272,4,2.5,6531.0,2003.0,2,3.0,Industrial,Good,Yes,2023-06-05,279513
H-0163,2495,1,2.0,6810.0,1993.0,2,2.0,Suburbs,Fair,No,2020-09-04,282862
H-0164,1307,4,1.5,3808.0,1991.0,1,1.0,Industrial,Fair,No,2022-02-19,126733
H-0165,2378,3,3.0,7820.0,2021.0,2,3.0,Downtown,Poor,No,2020-02-29,404905
H-0166,2047,1,2.0,3631.0,2006.0,2,1.0,Rural,Average,No,2023-01-27,213319
H-0167,2293,4,3.0,7736.0,1996.0,1,3.0,Suburbs,Average,No,2020-04-07,418212
H-0168,2938,3,2.5,5405.0,1974.0,2,2.0,Suburbs,Good,No,2020-05-26,443494
H-0169,1652,6,1.5,2753.0,1993.0,2,2.0,Industrial,Fair,No,2023-11-15,138764
H-0170,1347,3,2.5,5307.0,1964.0,1,2.0,Suburbs,Poor,No,2022-01-11,147106
H-0171,1266,3,1.0,4927.0,2000.0,3,2.0,Rural,Fair,Yes,2020-12-02,157757
H-0172,1310,4,2.0,2162.0,2002.0,2,2.0,Downtown,Fair,Yes,2022-09-18,274133
H-0173,1753,3,2.5,4572.0,1983.0,1,2.0,Downtown,Excellent,No,2022-05-19,461510
H-0174,2004,5,2.0,3939.0,1957.0,1,2.0,Suburbs,Average,No,2021-11-18,315149
H-0175,1966,3,3.0,5334.0,2019.0,3,2.0,Rural,Average,No,2024-02-24,234099
H-0176,2296,3,3.0,8209.0,1970.0,2,3.0,Suburbs,Fair,No,2023-06-08,294928
H-0177,1807,2,3.0,7004.0,1956.0,2,2.0,Suburbs,Excellent,No,2020-09-10,381014
H-0178,2672,3,1.0,8244.0,2005.0,1,3.0,Rural,Average,No,2022-08-13,261491
H-0179,1641,4,1.5,3913.0,1998.0,3,2.0,Downtown,Good,No,2020-05-28,420707
H-0180,3432,4,2.5,10324.0,1991.0,2,2.0,Suburbs,Average,Yes,2021-02-13,557389
H-0181,2175,3,3.5,4959.0,1972.0,2,0.0,Industrial,Fair,No,2024-03-03,173181
H-0182,1285,3,3.0,4850.0,2001.0,3,1.0,Suburbs,Average,No,2022-02-12,253555
H-0183,1157,4,3.0,,2002.0,1,2.0,Suburbs,Fair,No,2024-02-02,229021
H-0184,2089,5,2.0,6048.0,1965.0,2,2.0,Rural,Average,No,2020-10-04,238928
H-0185,1665,2,2.0,3849.0,1986.0,1,,Rural,Good,No,2020-12-09,218671
H-0186,2228,3,2.5,4976.0,1967.0,2,2.0,Rural,Good,No,2021-08-13,274564
H-0187,2083,3,1.5,3298.0,1969.0,1,2.0,Industrial,Poor,Yes,2021-09-05,141471
H-0188,1756,5,1.0,6215.0,1995.0,3,2.0,Downtown,Good,Yes,2023-06-01,415475
H-0189,1291,2,3.5,3390.0,1951.0,2,1.0,Industrial,Excellent,No,2022-09-30,169601
H-0190,891,3,2.0,2060.0,2012.0,2,2.0,Industrial,Good,No,2022-07-15,152469
H-0191,1532,4,2.0,4102.0,1952.0,3,0.0,Waterfront,Good,No,2022-10-05,400917
H-0192,2313,2,1.0,8203.0,1995.0,3,2.0,Suburbs,Average,No,2023-05-10,378204
H-0193,1928,3,3.5,3492.0,1998.0,2,1.0,Waterfront,Average,No,2024-02-03,477169
H-0194,1052,3,2.5,3833.0,1950.0,2,2.0,Suburbs,Poor,No,2021-11-25,133894
H-0195,1903,3,3.0,7124.0,1971.0,1,2.0,Rural,Fair,No,2023-09-06,220350
H-0196,2031,3,3.5,7853.0,1963.0,1,,Downtown,Excellent,No,2022-04-08,520076
H-0197,1269,3,2.0,3164.0,1994.0,2,2.0,Waterfront,Average,No,2023-04-23,357566
H-0198,1892,2,2.5,3865.0,1955.0,1,3.0,Rural,Fair,No,2024-01-04,167079
H-0199,1834,4,1.0,4464.0,2014.0,2,1.0,Downtown,Fair,No,2020-02-23,351680
H-0200,1114,4,1.5,2598.0,1970.0,1,2.0,Waterfront,Average,No,2022-07-04,321404
H-0201,2014,4,3.0,3907.0,1953.0,2,2.0,Suburbs,Good,No,2024-07-14,339945
H-0202,2136,2,3.0,6446.0,1952.0,2,1.0,Rural,Fair,No,2022-04-10,248537
H-0203,2449,2,2.0,6591.0,1979.0,1,0.0,Suburbs,Fair,No,2023-12-17,280500
H-0204,2432,3,2.0,8911.0,1980.0,1,1.0,Waterfront,Average,Yes,2020-11-07,532386
H-0205,973,3,2.5,1537.0,1983.0,2,2.0,Suburbs,Good,No,2022-10-08,198271
H-0206,1237,3,1.0,3846.0,1969.0,2,1.0,Suburbs,Average,No,2023-12-27,219943
H-0207,2109,4,2.0,7186.0,2003.0,2,1.0,Suburbs,Excellent,No,2021-12-23,452344
H-0208,2108,2,2.0,7164.0,1974.0,2,1.0,Rural,Good,No,2022-03-25,211849
H-0209,2109,1,2.0,7835.0,1964.0,1,2.0,Rural,Good,No,2020-05-17,219659
H-0210,4111,3,3.0,13659.0,1987.0,1,2.0,Suburbs,Good,No,2020-03-11,661576
H-0211,2142,4,2.0,8181.0,1972.0,1,2.0,Suburbs,Average,No,2022-02-23,357992
H-0212,2481,2,1.5,5784.0,2001.0,2,2.0,Suburbs,Good,No,2023-11-12,374829
H-0213,2372,4,2.5,6542.0,2015.0,2,2.0,Industrial,Excellent,No,2024-04-08,285878
H-0214,2190,3,3.5,3362.0,2006.0,1,0.0,Rural,Good,Yes,2023-01-07,287917
H-0215,1610,5,2.0,2443.0,2006.0,2,2.0,Suburbs,Good,No,2023-10-15,319300
H-0216,2255,5,1.0,4736.0,2001.0,2,2.0,Suburbs,Average,No,2023-05-15,383874
H-0217,1336,3,2.0,2340.0,1984.0,3,2.0,Suburbs,Good,No,2023-03-20,220171
H-0218,1657,3,3.0,3563.0,2023.0,2,,Waterfront,Good,No,2023-07-11,494565
H-0219,1508,3,2.5,2929.0,1963.0,2,2.0,Downtown,Average,No,2022-04-25,388176
H-0220,1849,3,3.0,2905.0,1963.0,2,1.0,Rural,Good,No,2022-02-05,247071
H-0221,3188,4,4.0,12029.0,1982.0,3,1.0,Suburbs,Good,No,2020-09-23,544369
H-0222,679,4,3.0,1032.0,2001.0,3,2.0,Suburbs,Fair,No,2023-11-13,196624
H-0223,2211,4,2.5,7385.0,1950.0,2,2.0,Downtown,Average,No,2020-03-15,468671
H-0224,832,4,2.5,1564.0,1983.0,2,0.0,Waterfront,Fair,No,2021-03-23,277869
H-0225,1516,3,1.0,5731.0,1968.0,2,3.0,Industrial,Average,No,2022-05-20,171888
H-0226,2453,2,4.0,9154.0,1973.0,2,2.0,Downtown,Fair,No,2024-06-14,461551
H-0227,1838,4,2.0,5761.0,1953.0,2,1.0,Suburbs,Good,No,2023-08-08,267082
H-0228,1153,3,1.5,3667.0,1985.0,1,2.0,Downtown,Average,No,2021-09-09,295020
H-0229,1370,4,3.0,2073.0,2007.0,3,0.0,Rural,Average,No,2023-04-10,170826
H-0230,2207,3,2.0,8744.0,1981.0,2,2.0,Rural,Fair,No,2024-04-08,227425
H-0231,1361,2,2.5,5028.0,1958.0,2,2.0,Suburbs,Average,Yes,2022-06-21,243476
H-0232,1929,6,2.5,7210.0,2016.0,2,1.0,Downtown,Fair,No,2022-02-12,459916
H-0233,1827,2,2.0,5751.0,1969.0,2,2.0,Waterfront,Average,Yes,2022-07-14,450759
H-0234,1409,6,3.0,3328.0,2023.0,2,2.0,Rural,Average,No,2021-06-05,203552
H-0235,3086,6,2.0,11523.0,2011.0,2,1.0,Downtown,Fair,No,2024-02-27,557015
H-0236,2180,4,2.0,4858.0,2007.0,2,2.0,Rural,Poor,No,2023-08-27,180448
H-0237,584,4,2.5,1697.0,1971.0,2,1.0,Waterfront,Average,No,2023-03-26,254474
H-0238,1911,4,3.0,3342.0,2016.0,3,2.0,Suburbs,Good,Yes,2022-09-13,386732
H-0239,1402,5,3.0,5334.0,1997.0,1,1.0,Suburbs,Good,No,2024-06-10,315136
H-0240,2311,3,2.0,4279.0,1957.0,2,,Suburbs,Good,No,2021-05-13,364832
H-0241,1324,3,2.5,2730.0,2022.0,1,1.0,Rural,Excellent,Yes,2021-04-18,231907
H-0242,1731,4,1.5,5011.0,1964.0,3,1.0,Rural,Excellent,No,2021-02-09,238481
H-0243,2102,3,3.5,7168.0,1981.0,1,2.0,Industrial,Average,No,2023-05-26,229095
H-0244,2319,3,2.0,7069.0,2002.0,2,2.0,Downtown,Fair,No,2023-08-27,439524
H-0245,1079,3,3.0,2244.0,2016.0,1,2.0,Rural,Excellent,No,2022-09-26,199081
H-0246,1599,4,1.0,2402.0,1953.0,2,2.0,Downtown,Average,No,2022-12-27,359622
H-0247,1515,5,2.0,5140.0,1979.0,3,2.0,Suburbs,Good,No,2021-08-07,288001
H-0248,1408,3,2.5,5579.0,1962.0,1,0.0,Rural,Fair,No,2020-03-07,174705
H-0249,2859,5,3.5,10077.0,1970.0,2,0.0,Industrial,Good,No,2021-02-28,307763
H-0250,2042,4,2.5,5412.0,1990.0,1,2.0,Downtown,Average,Yes,2022-09-05,506137
H-0251,1043,4,3.5,3921.0,1968.0,2,2.0,Industrial,Poor,No,2023-09-22,69109
H-0252,2350,4,2.5,5932.0,1997.0,2,3.0,Suburbs,Good,No,2023-07-25,421742
H-0253,3073,4,2.5,8642.0,2012.0,2,0.0,Suburbs,Average,Yes,2020-10-27,499567
H-0254,2419,1,1.5,6513.0,1969.0,2,,Downtown,Fair,No,2020-03-27,374787
H-0255,888,4,3.0,2325.0,2013.0,2,1.0,Rural,Good,No,2023-11-24,152511
H-0256,1509,1,2.0,5187.0,1986.0,1,2.0,Suburbs,Poor,Yes,2020-05-06,178196
H-0257,2560,5,3.5,7211.0,1980.0,2,2.0,Suburbs,Fair,Yes,2021-10-20,397211
H-0258,1375,6,3.5,3151.0,2023.0,1,1.0,Suburbs,Good,Yes,2020-06-06,341034
H-0259,2066,3,3.5,4432.0,1967.0,2,2.0,Rural,Good,No,2022-08-02,218262
H-0260,2264,3,2.5,3609.0,1969.0,2,2.0,Suburbs,Average,No,2021-08-31,383501
H-0261,1243,4,3.0,3676.0,1960.0,1,1.0,Suburbs,Fair,No,2020-12-04,183570
H-0262,1764,3,3.0,3660.0,1993.0,1,2.0,Waterfront,Good,No,2022-09-23,464612
H-0263,400,5,1.5,748.0,2013.0,1,2.0,Rural,Average,No,2021-08-31,98271
H-0264,1185,2,2.5,3714.0,1983.0,3,0.0,Suburbs,Good,No,2020-10-06,200504
H-0265,1648,2,1.0,5278.0,2014.0,2,2.0,Suburbs,Fair,No,2023-03-17,243875
H-0266,1051,6,2.5,3552.0,2004.0,2,1.0,Rural,Average,No,2023-11-01,236246
H-0267,2779,4,1.5,7667.0,2023.0,2,2.0,Downtown,Average,No,2021-04-03,591637
H-0268,941,4,1.5,3514.0,1950.0,1,2.0,Rural,Average,No,2020-11-08,158157
H-0269,1535,3,2.0,5895.0,1987.0,2,2.0,Suburbs,Fair,No,2020-05-05,277256
H-0270,1878,4,2.0,6607.0,1958.0,2,0.0,Suburbs,Good,No,2022-06-02,303583
H-0271,2664,4,2.5,8229.0,2020.0,2,0.0,Suburbs,Fair,No,2023-10-23,378142
H-0272,938,4,1.0,2119.0,1966.0,3,2.0,Industrial,Good,No,2021-02-23,125932
H-0273,2497,4,2.5,9881.0,2001.0,2,1.0,Industrial,Average,Yes,2022-02-10,247904
