customer_id,gender,senior_citizen,partner,tenure,internet_service,contract_type,payment_method,monthly_charges,total_charges,support_calls,age,income,signup_date,churn
CUST-00041,Male,0,Yes,14,DSL,One year,Bank transfer,36.89,565.72,1.0,52.0,66135.0,2022-03-04,No
CUST-00042,Female,0,Yes,9,DSL,Month-to-month,Electronic check,25.12,156.16,1.0,44.0,17758.0,2018-03-01,No
CUST-00043,Male,0,No,4,Fiber optic,Two year,Electronic check,26.26,170.85,1.0,40.0,,2023-09-15,No
CUST-00044,Male,0,No,4,Fiber optic,Two year,Mailed check,29.88,204.29,3.0,37.0,30100.0,2024-02-09,No
CUST-00045,Female,0,Yes,26,DSL,Month-to-month,Bank transfer,82.86,2174.87,,,80566.0,2021-12-06,No
CUST-00046,Female,1,Yes,19,Fiber optic,Two year,Electronic check,22.82,381.68,2.0,31.0,93213.0,2018-10-02,No
CUST-00047,Female,1,No,3,Fiber optic,One year,Electronic check,56.06,151.77,1.0,35.0,15000.0,2023-12-25,Yes
CUST-00048,Male,0,No,2,No,Month-to-month,Mailed check,83.55,164.72,3.0,56.0,48376.0,2023-03-02,No
CUST-00049,Male,0,No,1,No,One year,Electronic check,77.5,91.02,0.0,46.0,96097.0,2018-03-08,No
CUST-00050,Male,0,No,32,DSL,One year,Bank transfer,53.43,1710.86,3.0,18.0,43826.0,2021-09-18,No
CUST-00051,Female,0,Yes,29,DSL,Month-to-month,Credit card,70.73,2065.23,0.0,46.0,75920.0,2018-09-26,Yes
CUST-00052,Male,1,No,1,DSL,Month-to-month,Bank transfer,68.21,63.67,2.0,36.0,60518.0,2018-11-27,No
CUST-00053,Female,0,No,19,Fiber optic,Month-to-month,Electronic check,58.27,1120.39,1.0,32.0,60174.0,2019-03-28,No
CUST-00054,Male,0,No,2,Fiber optic,Month-to-month,Electronic check,58.67,94.31,0.0,50.0,41656.0,2020-07-17,No
CUST-00055,Male,0,Yes,56,DSL,Month-to-month,Electronic check,120.0,6703.09,3.0,56.0,23624.0,2023-08-16,No
CUST-00056,Male,0,Yes,57,No,One year,Electronic check,89.28,5060.16,0.0,55.0,25011.0,2018-03-14,Yes
CUST-00057,Female,0,Yes,28,Fiber optic,Month-to-month,Electronic check,120.0,3455.86,2.0,30.0,75027.0,2022-06-03,No
CUST-00058,Male,1,No,62,Fiber optic,Month-to-month,Electronic check,50.09,3178.78,3.0,37.0,49596.0,2024-03-09,No
CUST-00059,Male,1,Yes,40,Fiber optic,Month-to-month,Credit card,62.45,2525.76,2.0,46.0,45111.0,2022-02-11,No
CUST-00060,Male,0,No,42,Fiber optic,Two year,Credit card,25.04,1117.95,0.0,55.0,38012.0,2023-03-26,No
CUST-00061,Female,0,No,20,Fiber optic,Month-to-month,Bank transfer,40.71,854.12,0.0,35.0,40818.0,2023-10-14,Yes
CUST-00062,Female,0,Yes,8,No,Month-to-month,Electronic check,120.0,969.06,2.0,39.0,,2022-08-02,No
CUST-00063,Female,0,No,5,DSL,Month-to-month,Credit card,49.34,171.42,2.0,26.0,40088.0,2022-03-27,No
CUST-00064,Male,0,Yes,9,Fiber optic,One year,Electronic check,120.0,1066.89,1.0,25.0,21924.0,2018-02-12,Yes
CUST-00065,Male,0,No,23,DSL,Month-to-month,Electronic check,27.7,620.35,3.0,53.0,76587.0,2021-04-30,Yes
CUST-00066,Male,0,Yes,4,Fiber optic,Month-to-month,Electronic check,33.4,76.95,2.0,60.0,43350.0,2021-01-04,No
CUST-00067,Female,0,No,7,Fiber optic,Month-to-month,Mailed check,54.76,309.01,0.0,40.0,49952.0,2021-05-09,No
CUST-00068,Male,0,Yes,15,DSL,Month-to-month,Mailed check,63.09,970.99,1.0,56.0,,2020-10-10,No
CUST-00069,Female,0,Yes,6,DSL,One year,Electronic check,92.69,572.37,1.0,47.0,48419.0,2023-10-26,No
CUST-00070,Male,0,No,21,DSL,Month-to-month,Electronic check,78.52,1590.55,1.0,32.0,58308.0,2023-09-14,No
CUST-00071,Female,0,Yes,61,Fiber optic,Month-to-month,Credit card,52.51,3165.82,0.0,,24164.0,2018-10-22,No
CUST-00072,Male,1,Yes,33,Fiber optic,One year,Mailed check,61.0,2071.06,1.0,63.0,42967.0,2021-06-02,No
CUST-00073,Female,0,No,26,No,Month-to-month,Electronic check,55.43,1397.3,2.0,41.0,70665.0,2024-02-27,No
CUST-00074,Female,0,No,20,DSL,One year,Mailed check,37.56,,0.0,63.0,19279.0,2021-11-03,No
CUST-00075,Male,0,No,16,DSL,Month-to-month,Electronic check,38.36,604.27,0.0,18.0,55298.0,2023-02-22,Yes
CUST-00076,Female,0,Yes,4,Fiber optic,Two year,Bank transfer,95.84,408.68,2.0,53.0,52076.0,2020-05-24,No
CUST-00077,Female,0,No,54,DSL,Two year,Electronic check,18.0,929.19,1.0,43.0,,2020-06-02,No
CUST-00078,Male,1,No,6,DSL,One year,Bank transfer,113.52,685.62,1.0,37.0,91335.0,2020-02-03,No
CUST-00079,Female,0,No,2,Fiber optic,Two year,Bank transfer,54.71,117.86,1.0,43.0,,2018-02-21,No
CUST-00080,Male,0,Yes,33,No,Month-to-month,Credit card,41.82,1391.57,2.0,18.0,118995.0,2023-12-07,No
CUST-00081,Male,0,Yes,4,No,One year,Electronic check,87.19,352.71,2.0,38.0,27006.0,2020-03-30,No
CUST-00082,Male,0,Yes,11,DSL,Month-to-month,Mailed check,109.56,1222.39,0.0,46.0,53186.0,2020-05-10,Yes
CUST-00083,Male,0,No,0,DSL,One year,Credit card,98.53,109.59,2.0,62.0,51569.0,2022-11-15,No
CUST-00084,Female,1,No,3,Fiber optic,Month-to-month,Bank transfer,80.06,368.24,3.0,34.0,,2021-05-19,Yes
CUST-00085,Male,0,No,4,Fiber optic,Month-to-month,Credit card,97.61,358.48,2.0,30.0,87009.0,2020-04-28,No
CUST-00086,Male,0,No,1,Fiber optic,Two year,Credit card,18.0,0.0,1.0,34.0,197758.0,2023-09-02,No
CUST-00087,Female,1,Yes,25,Fiber optic,Month-to-month,Bank transfer,49.35,1263.52,4.0,54.0,48523.0,2023-04-18,No
CUST-00088,Female,0,Yes,43,DSL,One year,Electronic check,37.66,1628.69,0.0,46.0,66370.0,2024-04-07,No
CUST-00089,Male,0,Yes,11,DSL,One year,Bank transfer,101.74,1172.19,3.0,34.0,51570.0,2022-02-10,Yes
CUST-00090,Female,0,No,49,No,Month-to-month,Bank transfer,53.5,2635.74,1.0,49.0,31947.0,2022-06-05,No
CUST-00091,Male,1,Yes,5,Fiber optic,Month-to-month,Bank transfer,90.36,454.73,0.0,43.0,16441.0,2020-01-31,No
CUST-00092,Female,0,Yes,9,Fiber optic,Month-to-month,Bank transfer,81.08,786.17,2.0,55.0,32097.0,2018-08-22,Yes
CUST-00093,Male,0,Yes,3,Fiber optic,Two year,Bank transfer,39.13,180.83,2.0,32.0,21265.0,2018-09-06,No
CUST-00094,Female,0,Yes,23,Fiber optic,Two year,Mailed check,47.39,1020.64,4.0,37.0,136279.0,2022-02-22,No
CUST-00095,Male,0,Yes,13,DSL,One year,Mailed check,103.81,1308.7,0.0,36.0,45749.0,2018-09-23,Yes
CUST-00096,Female,1,No,22,Fiber optic,Two year,Electronic check,41.74,913.0,2.0,21.0,39832.0,2023-10-26,No
CUST-00097,Female,0,Yes,34,Fiber optic,Month-to-month,Credit card,68.75,2342.42,0.0,46.0,83574.0,2022-07-08,No
CUST-00098,Female,0,No,18,DSL,Month-to-month,Credit card,41.52,736.06,4.0,45.0,25007.0,2019-06-15,Yes
CUST-00099,Female,0,No,23,DSL,Month-to-month,Bank transfer,55.58,1300.05,4.0,42.0,30942.0,2019-10-17,Yes
CUST-00100,Male,0,Yes,65,Fiber optic,One year,Electronic check,63.62,4185.11,2.0,38.0,51064.0,2022-07-22,No
CUST-00101,Male,0,No,8,Fiber optic,Month-to-month,Electronic check,41.51,418.22,1.0,22.0,90876.0,2023-04-15,Yes
CUST-00102,Female,0,Yes,10,Fiber optic,One year,Electronic check,36.19,390.85,3.0,36.0,66238.0,2023-05-21,Yes
CUST-00103,Male,0,No,30,Fiber optic,One year,Electronic check,73.59,2165.08,2.0,37.0,56896.0,2021-11-09,Yes
CUST-00104,Male,0,No,22,Fiber optic,Month-to-month,Mailed check,39.66,865.15,3.0,30.0,51373.0,2018-12-30,No
CUST-00105,Female,0,No,4,Fiber optic,Month-to-month,Electronic check,40.68,158.95,0.0,39.0,62326.0,2023-04-02,Yes
CUST-00106,Male,0,Yes,11,Fiber optic,Month-to-month,Electronic check,36.83,430.86,3.0,47.0,55325.0,2023-01-29,No
CUST-00107,Male,0,No,15,DSL,One year,Bank transfer,62.66,959.31,0.0,68.0,26423.0,2023-05-12,No
CUST-00108,Female,1,No,13,DSL,Month-to-month,Credit card,93.31,1315.55,2.0,44.0,50395.0,2019-01-05,No
CUST-00109,Female,0,No,4,Fiber optic,Month-to-month,Electronic check,110.2,417.72,4.0,45.0,25739.0,2022-05-23,Yes
CUST-00110,Female,1,Yes,61,Fiber optic,One year,Mailed check,,2655.66,0.0,40.0,51464.0,2024-02-28,No
CUST-00111,Female,1,Yes,34,No,Month-to-month,Credit card,120.0,4197.74,0.0,18.0,36739.0,2019-08-23,No
CUST-00112,Male,0,Yes,15,Fiber optic,Month-to-month,Credit card,34.86,493.64,1.0,41.0,224948.0,2022-08-07,No
CUST-00113,Female,0,No,27,Fiber optic,One year,Mailed check,97.51,2640.03,1.0,,47861.0,2019-08-30,No
CUST-00114,Female,0,Yes,54,DSL,One year,Electronic check,43.35,2293.66,2.0,76.0,21109.0,2019-12-21,Yes
CUST-00115,Male,1,No,3,Fiber optic,One year,Electronic check,38.87,120.71,2.0,39.0,45228.0,2021-02-10,No
CUST-00116,Female,1,No,6,DSL,Month-to-month,Electronic check,42.66,216.95,2.0,46.0,66944.0,2023-09-28,No
CUST-00117,Male,1,Yes,18,Fiber optic,Month-to-month,Mailed check,63.43,1194.08,4.0,41.0,133788.0,2018-04-01,No
CUST-00118,Male,1,No,38,DSL,One year,Electronic check,82.4,3138.57,0.0,25.0,34417.0,2024-05-07,No
CUST-00119,Male,0,No,0,DSL,Month-to-month,Bank transfer,85.1,0.0,2.0,57.0,18968.0,2022-12-14,Yes
CUST-00120,Female,0,Yes,72,Fiber optic,Two year,Electronic check,36.68,2682.99,3.0,52.0,80025.0,2020-04-22,No
CUST-00121,Male,0,Yes,14,DSL,Month-to-month,Bank transfer,35.31,503.32,1.0,53.0,21410.0,2020-04-09,No
CUST-00122,Male,0,Yes,10,Fiber optic,Month-to-month,Electronic check,37.5,422.64,0.0,29.0,37733.0,2021-02-05,No
CUST-00123,Female,0,No,8,Fiber optic,Month-to-month,Bank transfer,61.66,435.9,0.0,61.0,42000.0,2023-08-14,Yes
CUST-00124,Male,0,No,4,Fiber optic,Two year,Bank transfer,58.7,253.24,0.0,22.0,47014.0,2018-02-11,No
CUST-00125,Male,0,Yes,37,DSL,One year,Bank transfer,36.49,1388.8,2.0,50.0,74124.0,2021-07-08,No
CUST-00126,Male,0,Yes,72,DSL,Month-to-month,Electronic check,73.09,5241.31,1.0,72.0,32526.0,2018-05-12,No
CUST-00127,Male,0,No,12,Fiber optic,One year,Electronic check,120.0,1377.05,1.0,28.0,41596.0,2018-09-28,No
CUST-00128,Male,0,No,72,DSL,Month-to-month,Electronic check,49.86,,1.0,34.0,48602.0,2022-06-07,Yes
CUST-00129,Female,0,No,41,No,Month-to-month,Bank transfer,51.99,2193.0,1.0,43.0,53624.0,2019-07-03,No
CUST-00130,Male,0,No,15,DSL,Month-to-month,Electronic check,81.79,1283.15,4.0,34.0,51984.0,2018-04-08,No
CUST-00131,Female,0,Yes,26,Fiber optic,Month-to-month,Mailed check,48.24,1232.82,0.0,20.0,63678.0,2019-01-20,No
CUST-00132,Female,1,Yes,13,DSL,Month-to-month,Electronic check,85.07,1041.76,1.0,42.0,81332.0,2019-05-04,Yes
CUST-00133,Female,0,Yes,19,Fiber optic,Month-to-month,Electronic check,43.44,803.8,1.0,27.0,62042.0,2022-12-09,Yes
CUST-00134,Female,0,No,1,No,Month-to-month,Bank transfer,119.96,96.54,0.0,48.0,64353.0,2022-01-04,Yes
CUST-00135,Female,0,Yes,28,Fiber optic,Month-to-month,Mailed check,75.34,2131.84,1.0,29.0,18970.0,2022-09-19,No
CUST-00136,Female,0,Yes,1,Fiber optic,Month-to-month,Electronic check,46.4,41.15,3.0,63.0,50520.0,2020-05-16,Yes
CUST-00137,Female,0,Yes,40,DSL,Two year,Bank transfer,47.34,1855.94,2.0,31.0,65362.0,2018-09-23,No
CUST-00138,Male,0,Yes,41,No,One year,Bank transfer,49.59,2088.4,2.0,37.0,75914.0,2023-03-02,No
CUST-00139,Female,0,No,6,Fiber optic,Two year,Electronic check,106.18,644.1,3.0,53.0,32357.0,2018-11-25,No
CUST-00140,Female,0,Yes,9,DSL,Month-to-month,Electronic check,26.94,264.23,2.0,24.0,33010.0,2020-06-15,No
CUST-00141,Male,1,No,15,DSL,Month-to-month,Bank transfer,44.96,588.15,0.0,,34736.0,2019-09-07,No
CUST-00142,Female,0,No,21,DSL,One year,Credit card,48.15,889.94,,60.0,67632.0,2019-11-26,Yes
CUST-00143,Male,0,Yes,8,DSL,One year,Electronic check,64.53,444.36,1.0,19.0,91156.0,2021-11-11,No
CUST-00144,Male,0,Yes,21,No,One year,Bank transfer,56.87,1170.24,,44.0,38388.0,2019-01-21,No
CUST-00145,Male,0,No,8,Fiber optic,One year,Credit card,20.26,190.9,4.0,45.0,84522.0,2020-11-10,No
CUST-00146,Male,0,No,1,DSL,One year,Mailed check,53.01,0.0,2.0,52.0,52790.0,2022-02-05,No
CUST-00147,Female,0,No,0,Fiber optic,One year,Electronic check,62.01,79.64,2.0,24.0,,2023-07-29,No
CUST-00148,Female,0,No,2,Fiber optic,One year,Bank transfer,46.16,100.85,1.0,23.0,43181.0,2020-05-19,No
CUST-00149,Male,0,No,37,DSL,Two year,Electronic check,85.6,,1.0,49.0,76723.0,2020-01-17,No
CUST-00150,Male,0,No,72,DSL,Two year,Mailed check,92.58,,2.0,46.0,59596.0,2020-05-11,No
CUST-00151,Female,0,No,13,DSL,Month-to-month,Electronic check,62.65,839.64,3.0,45.0,192046.0,2021-03-19,Yes
CUST-00152,Male,0,No,17,Fiber optic,Month-to-month,Electronic check,71.92,1226.9,0.0,46.0,29397.0,2020-01-04,No
CUST-00153,Female,1,Yes,3,Fiber optic,Month-to-month,Electronic check,18.0,94.88,3.0,32.0,66893.0,2019-08-10,No
CUST-00154,Female,0,No,19,No,Month-to-month,Bank transfer,52.37,983.34,1.0,45.0,35684.0,2020-05-29,No
CUST-00155,Female,0,No,3,Fiber optic,Month-to-month,Credit card,95.14,309.08,0.0,46.0,29098.0,2022-12-28,No
CUST-00156,Male,1,Yes,22,Fiber optic,Month-to-month,Mailed check,,1205.71,1.0,31.0,48702.0,2019-08-16,No
CUST-00157,Female,0,No,64,No,Month-to-month,Electronic check,42.88,2711.76,0.0,68.0,53231.0,2023-06-02,No
CUST-00158,Male,1,Yes,5,Fiber optic,One year,Bank transfer,120.0,612.11,3.0,48.0,282350.0,2019-10-31,Yes
CUST-00159,Male,0,No,34,Fiber optic,Month-to-month,Mailed check,119.57,3970.99,2.0,25.0,43893.0,2021-11-14,No
CUST-00160,Female,0,No,0,Fiber optic,One year,Bank transfer,79.03,35.13,1.0,51.0,,2024-03-24,No
CUST-00161,Female,0,Yes,11,Fiber optic,Month-to-month,Bank transfer,99.17,1188.6,2.0,28.0,57745.0,2024-02-09,Yes
CUST-00162,Male,0,No,2,Fiber optic,Two year,Credit card,18.0,0.0,2.0,53.0,15000.0,2020-10-15,No
CUST-00163,Female,0,No,10,Fiber optic,One year,Electronic check,41.37,409.13,0.0,58.0,46389.0,2018-06-08,Yes
CUST-00164,Female,0,No,4,Fiber optic,Month-to-month,Electronic check,50.9,247.62,1.0,30.0,49494.0,2023-10-16,Yes
CUST-00165,Female,0,No,11,Fiber optic,Two year,Electronic check,57.92,638.69,0.0,55.0,78965.0,2018-10-25,No
CUST-00166,Female,0,Yes,12,No,Month-to-month,Mailed check,50.3,611.85,1.0,47.0,87919.0,2023-12-04,No
CUST-00167,Female,0,No,8,Fiber optic,Two year,Credit card,18.0,124.45,3.0,53.0,36237.0,2022-09-13,No
CUST-00168,Female,0,Yes,25,DSL,One year,Credit card,76.58,1893.09,2.0,68.0,44785.0,2023-12-29,No
CUST-00169,Female,0,No,60,,Month-to-month,Credit card,81.31,4874.27,1.0,38.0,30956.0,2022-04-09,No
CUST-00170,Female,0,Yes,12,No,Month-to-month,Electronic check,113.06,1358.8,1.0,31.0,24913.0,2024-05-20,Yes
CUST-00171,Male,0,No,5,Fiber optic,Month-to-month,Bank transfer,41.35,147.68,3.0,29.0,59038.0,2020-12-30,No
CUST-00172,Female,0,No,7,DSL,Two year,Mailed check,38.9,269.0,1.0,30.0,22830.0,2020-02-12,No
CUST-00173,Female,0,Yes,46,No,One year,Credit card,18.0,906.43,0.0,40.0,38224.0,2020-07-10,No
CUST-00174,Male,0,Yes,20,DSL,Month-to-month,Electronic check,56.19,1102.84,2.0,46.0,26981.0,2020-03-31,No
CUST-00175,Female,0,No,14,No,Month-to-month,Electronic check,92.03,1226.56,2.0,45.0,68173.0,2020-07-28,No
CUST-00176,Female,0,Yes,3,DSL,Month-to-month,Credit card,46.65,132.38,2.0,53.0,144474.0,2023-09-06,No
CUST-00177,Female,0,No,14,No,Month-to-month,Bank transfer,120.0,1644.27,0.0,42.0,22450.0,2021-10-19,No
CUST-00178,Male,0,Yes,7,DSL,Two year,Credit card,57.3,334.18,1.0,62.0,16126.0,2022-08-28,No
CUST-00179,Female,0,Yes,68,Fiber optic,Month-to-month,Electronic check,69.41,4726.84,0.0,38.0,45481.0,2019-11-06,No
CUST-00180,Male,0,No,51,Fiber optic,Month-to-month,Credit card,24.11,1194.1,1.0,80.0,49484.0,2024-05-08,No
CUST-00181,Male,0,No,2,Fiber optic,Two year,Bank transfer,73.62,116.0,0.0,50.0,55893.0,2019-10-20,No
CUST-00182,Male,0,No,17,Fiber optic,Month-to-month,Bank transfer,18.0,313.67,3.0,29.0,37504.0,2019-01-08,Yes
CUST-00183,Male,0,No,6,Fiber optic,Month-to-month,Bank transfer,85.81,438.2,2.0,27.0,43460.0,2022-12-29,No
CUST-00184,Male,0,No,12,DSL,Month-to-month,Bank transfer,86.73,953.68,2.0,48.0,61114.0,2023-05-20,No
CUST-00185,Male,0,No,50,Fiber optic,One year,Mailed check,105.78,5322.54,3.0,38.0,91515.0,2020-07-11,No
CUST-00186,Female,0,No,17,Fiber optic,One year,Electronic check,34.4,488.26,0.0,51.0,15168.0,2021-06-21,No
CUST-00187,Male,0,Yes,9,Fiber optic,Month-to-month,Mailed check,69.82,579.55,0.0,48.0,,2020-08-28,Yes
CUST-00188,Female,0,Yes,5,DSL,One year,Bank transfer,81.91,319.56,2.0,40.0,55730.0,2019-11-20,No
CUST-00189,Female,0,Yes,38,DSL,One year,Electronic check,78.27,2949.95,1.0,30.0,28260.0,2023-03-21,No
CUST-00190,Male,1,Yes,23,Fiber optic,One year,Electronic check,39.04,919.32,4.0,20.0,138510.0,2022-11-09,No
CUST-00191,Male,0,No,15,Fiber optic,Two year,Bank transfer,18.0,275.62,2.0,35.0,33481.0,2021-02-11,No
CUST-00192,Female,0,No,5,No,Month-to-month,Electronic check,,496.64,3.0,53.0,47821.0,2020-12-03,No
CUST-00193,Male,0,Yes,9,DSL,Month-to-month,Electronic check,60.43,598.22,0.0,44.0,68433.0,2019-02-27,No
CUST-00194,Male,0,Yes,72,No,One year,Credit card,48.0,,1.0,24.0,34379.0,2022-02-02,No
CUST-00195,Female,1,Yes,17,No,Month-to-month,Electronic check,87.92,1434.79,2.0,44.0,16188.0,2023-12-05,Yes
CUST-00196,Male,1,Yes,12,DSL,Month-to-month,Electronic check,63.65,899.13,2.0,47.0,37903.0,2022-08-12,No
CUST-00197,Female,0,Yes,17,Fiber optic,Month-to-month,Mailed check,25.42,485.27,4.0,29.0,90913.0,2021-04-01,Yes
CUST-00198,Female,0,Yes,36,Fiber optic,One year,Mailed check,18.0,677.47,3.0,44.0,40049.0,2018-04-01,No
CUST-00199,Female,0,Yes,9,Fiber optic,Month-to-month,Mailed check,31.13,283.91,1.0,42.0,29499.0,2023-12-20,No
CUST-00200,Male,0,Yes,4,Fiber optic,Month-to-month,Credit card,120.0,493.68,1.0,25.0,85425.0,2019-12-23,Yes
CUST-00201,Male,0,No,21,Fiber optic,Month-to-month,Bank transfer,86.68,1746.18,1.0,47.0,40196.0,2019-12-04,No
CUST-00202,Female,0,No,26,DSL,One year,Mailed check,70.66,1845.01,2.0,49.0,36094.0,2021-01-05,No
CUST-00203,Female,0,Yes,29,DSL,One year,Mailed check,59.55,1730.51,0.0,57.0,53619.0,2020-10-02,No
CUST-00204,Female,0,No,51,DSL,Month-to-month,Mailed check,57.58,2891.37,1.0,56.0,77843.0,2024-03-04,No
CUST-00205,Female,0,No,11,Fiber optic,One year,Electronic check,100.02,1073.29,1.0,22.0,204644.0,2019-01-22,No
CUST-00206,Female,0,Yes,1,DSL,One year,Credit card,50.28,126.04,1.0,28.0,80526.0,2022-06-03,Yes
CUST-00207,Female,1,Yes,72,No,One year,Electronic check,82.31,5920.06,2.0,49.0,98312.0,2018-09-08,No
CUST-00208,Male,0,No,13,Fiber optic,Month-to-month,Bank transfer,54.55,812.71,0.0,49.0,36185.0,2019-10-11,No
CUST-00209,Female,0,Yes,23,Fiber optic,One year,Bank transfer,120.0,2672.97,2.0,49.0,26488.0,2022-08-19,No
CUST-00210,Male,0,Yes,26,No,Two year,Credit card,87.27,2242.91,1.0,85.0,50888.0,2023-02-27,No
CUST-00211,Male,0,No,18,DSL,Month-to-month,Electronic check,102.37,1765.3,0.0,49.0,52276.0,2021-01-03,No
CUST-00212,Female,0,Yes,5,DSL,Month-to-month,Mailed check,,176.88,0.0,57.0,25665.0,2023-01-24,No
CUST-00213,Female,0,Yes,33,No,Month-to-month,Electronic check,96.74,3151.01,0.0,55.0,44126.0,2024-01-01,No
CUST-00214,Male,1,Yes,39,Fiber optic,One year,Credit card,55.62,,1.0,51.0,62292.0,2024-01-02,No
CUST-00215,Female,0,Yes,19,DSL,One year,Mailed check,68.3,1311.04,1.0,37.0,60854.0,2020-03-13,No
CUST-00216,Male,1,No,16,DSL,Month-to-month,Electronic check,114.05,1790.84,1.0,52.0,66341.0,2020-01-02,No
