hotel,is_canceled,lead_time,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,78,July,27,1,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5.0,0,Transient,63.6,1,0,Check-Out,8/7/2015
Resort Hotel,0,48,July,27,1,2,5,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8.0,0,Contract,79.5,0,0,Check-Out,8/7/2015
Resort Hotel,1,60,July,27,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,107.0,0,2,Canceled,11/5/2015
Resort Hotel,0,77,July,27,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,94.0,0,0,Check-Out,8/7/2015
Resort Hotel,0,99,July,27,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,87.3,1,1,Check-Out,8/7/2015
Resort Hotel,0,118,July,27,1,4,10,1,0.0,0,BB,,Direct,Direct,0,0,0,A,A,2,No Deposit,,0,Transient,62.0,0,2,Check-Out,15-07-2015
Resort Hotel,0,95,July,27,1,4,11,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,241.0,0,Transient,63.86,0,0,Check-Out,16-07-2015
Resort Hotel,1,96,July,27,1,2,8,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,0,Transient,108.3,0,2,Canceled,29-05-2015
Resort Hotel,0,69,July,27,2,2,4,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,175.0,0,Transient,65.5,0,0,Check-Out,8/7/2015
Resort Hotel,1,45,July,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,0,Transient,108.8,0,1,Canceled,19-05-2015
Resort Hotel,1,40,July,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,0,Transient,108.8,0,1,Canceled,19-06-2015
Resort Hotel,0,15,July,27,2,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0,Transient,98.0,0,0,Check-Out,6/7/2015
Resort Hotel,0,36,July,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,0,Transient,108.8,0,1,Check-Out,6/7/2015
Resort Hotel,1,43,July,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,0,Transient,108.8,0,0,Canceled,23-05-2015
Resort Hotel,0,70,July,27,2,2,3,2,0.0,0,HB,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,0,Transient,137.0,0,1,Check-Out,7/7/2015
Resort Hotel,1,45,July,27,2,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241.0,0,Transient,117.81,0,0,Canceled,18-05-2015
Resort Hotel,0,45,July,27,2,2,3,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8.0,0,Contract,79.5,0,0,Check-Out,7/7/2015
Resort Hotel,0,16,July,27,2,2,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,,0,Transient,123.0,0,0,Check-Out,7/7/2015
Resort Hotel,0,107,July,27,2,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,110.7,0,2,Check-Out,9/7/2015
Resort Hotel,1,47,July,27,2,2,5,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,153.0,0,0,Canceled,2/6/2015
Resort Hotel,0,96,July,27,2,2,5,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134.0,0,Transient,58.95,0,1,Check-Out,9/7/2015
Resort Hotel,0,113,July,27,2,2,5,2,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,156.0,0,Transient-Party,82.88,0,2,Check-Out,9/7/2015
Resort Hotel,0,90,July,27,2,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,243.0,0,Contract,82.35,0,0,Check-Out,9/7/2015
Resort Hotel,0,50,July,27,2,2,5,2,0.0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,241.0,0,Transient,119.35,0,1,Check-Out,9/7/2015
Resort Hotel,0,113,July,27,2,2,5,2,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156.0,0,Transient-Party,67.58,0,2,Check-Out,9/7/2015
Resort Hotel,0,93,July,27,2,3,8,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156.0,0,Contract,56.01,0,0,Check-Out,13-07-2015
Resort Hotel,0,76,July,27,2,4,10,2,0.0,0,BB,OMN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243.0,0,Contract,110.7,0,0,Check-Out,16-07-2015
Resort Hotel,0,3,July,27,2,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0,Transient,88.2,1,0,Check-Out,3/7/2015
Resort Hotel,0,1,July,27,2,0,1,2,0.0,0,BB,ARG,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,0,Transient,147.0,1,0,Check-Out,3/7/2015
Resort Hotel,0,1,July,27,2,0,1,2,2.0,0,BB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,,0,Transient,107.0,1,2,Check-Out,3/7/2015
Resort Hotel,0,0,July,27,2,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,,0,Transient,147.0,0,0,Check-Out,3/7/2015
Resort Hotel,0,0,July,27,2,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,0,Transient,117.9,0,2,Check-Out,3/7/2015
Resort Hotel,0,0,July,27,2,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,,0,Transient,123.0,0,0,Check-Out,3/7/2015
Resort Hotel,0,14,July,27,2,0,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,242.0,0,Transient,98.0,0,1,Check-Out,4/7/2015
Resort Hotel,0,10,July,27,2,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241.0,0,Transient,117.81,0,0,Check-Out,4/7/2015
Resort Hotel,0,5,July,27,2,0,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,135.0,1,2,Check-Out,4/7/2015
Resort Hotel,0,17,July,27,2,0,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,0,Transient,133.0,0,1,Check-Out,5/7/2015
Resort Hotel,0,93,July,27,2,0,3,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,115.0,0,Contract,58.95,0,0,Check-Out,5/7/2015
Resort Hotel,1,3,July,27,2,0,3,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,136.33,0,2,Canceled,29-06-2015
Resort Hotel,0,10,July,27,3,0,2,2,2.0,0,BB,USA,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,240.0,0,Transient,153.0,1,0,Check-Out,5/7/2015
Resort Hotel,0,3,July,27,3,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0,Transient,110.5,0,0,Check-Out,5/7/2015
Resort Hotel,0,51,July,27,3,0,2,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242.0,0,Transient,97.0,0,0,Check-Out,5/7/2015
Resort Hotel,1,71,July,27,3,0,2,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242.0,0,Transient,110.3,0,2,Canceled,16-06-2015
Resort Hotel,1,63,July,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,82.0,0,2,Canceled,18-06-2015
Resort Hotel,1,62,July,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,97.0,0,1,Canceled,3/7/2015
Resort Hotel,1,101,July,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,73.8,0,1,Canceled,12/6/2015
Resort Hotel,0,2,July,27,3,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,0,Transient,91.5,0,0,Check-Out,5/7/2015
Resort Hotel,0,15,July,27,3,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,114.5,0,0,Check-Out,5/7/2015
Resort Hotel,1,51,July,27,3,0,2,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,0,Transient,110.3,0,0,Canceled,9/6/2015
Resort Hotel,0,3,July,27,3,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,90.9,1,0,Check-Out,6/7/2015
Resort Hotel,1,48,July,27,3,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,123.0,0,0,Canceled,26-05-2015
Resort Hotel,0,2,July,27,3,2,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,122.0,0,0,Check-Out,7/7/2015
Resort Hotel,0,72,July,27,3,2,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,105.0,0,Transient,110.7,1,0,Check-Out,7/7/2015
Resort Hotel,0,81,July,27,3,2,6,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5.0,0,Transient,85.86,0,0,Check-Out,11/7/2015
Resort Hotel,0,99,July,27,3,2,7,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,0,Contract,58.95,0,0,Check-Out,12/7/2015
Resort Hotel,1,368,July,27,3,3,7,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,0,Contract,55.68,0,0,Canceled,19-05-2015
Resort Hotel,0,364,July,27,3,3,7,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,0,Contract,55.68,0,0,Check-Out,13-07-2015
Resort Hotel,1,81,July,27,3,3,7,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250.0,0,Transient,124.0,0,1,Canceled,9/6/2015
Resort Hotel,0,99,July,27,3,3,7,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115.0,0,Contract,111.15,0,0,Check-Out,13-07-2015
Resort Hotel,0,324,July,27,3,4,10,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40.0,0,Contract,134.73,0,0,Check-Out,17-07-2015
Resort Hotel,0,69,July,27,3,4,10,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,241.0,0,Transient,92.45,0,1,Check-Out,17-07-2015
Resort Hotel,1,79,July,27,3,6,15,2,1.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242.0,0,Transient,108.73,0,2,Canceled,15-04-2015
Resort Hotel,0,12,July,27,3,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0,Transient,73.8,0,0,Check-Out,4/7/2015
Resort Hotel,0,9,July,27,3,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0,Transient,98.0,1,2,Check-Out,4/7/2015
Resort Hotel,0,1,July,27,3,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0,Transient,131.0,0,1,Check-Out,4/7/2015
Resort Hotel,0,21,July,27,3,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,123.0,0,0,Check-Out,4/7/2015
Resort Hotel,0,9,July,27,3,0,1,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,241.0,0,Transient,94.71,0,0,Check-Out,4/7/2015
Resort Hotel,0,109,July,27,3,0,1,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,123.0,0,2,Check-Out,4/7/2015
Resort Hotel,1,109,July,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,123.0,0,1,Canceled,26-05-2015
Resort Hotel,1,72,July,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,73.8,0,1,Canceled,29-06-2015
Resort Hotel,1,63,July,27,3,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242.0,0,Transient,117.0,0,1,Canceled,13-05-2015
Resort Hotel,0,63,July,27,3,2,5,3,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,105.0,0,Transient,196.54,0,1,Check-Out,10/7/2015
Resort Hotel,0,101,July,27,3,2,5,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,99.3,1,2,Check-Out,10/7/2015
Resort Hotel,0,102,July,27,3,2,5,2,0.0,0,BB,DEU,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,0,Transient,90.95,0,0,Check-Out,10/7/2015
Resort Hotel,0,4,July,27,4,2,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,C,0,No Deposit,250.0,0,Transient,92.67,0,1,Check-Out,7/7/2015
Resort Hotel,0,98,July,27,4,2,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8.0,0,Transient,71.55,1,0,Check-Out,7/7/2015
Resort Hotel,0,92,July,27,4,2,4,1,2.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,F,F,0,No Deposit,241.0,0,Transient,96.49,0,2,Check-Out,10/7/2015
Resort Hotel,0,95,July,27,4,2,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0,Transient,85.8,1,2,Check-Out,10/7/2015
Resort Hotel,0,102,July,27,4,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,96.3,0,1,Check-Out,11/7/2015
Resort Hotel,1,26,July,27,4,2,5,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,0,Transient,163.0,0,0,Canceled,9/6/2015
Resort Hotel,1,73,July,27,4,2,5,3,0.0,0,HB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250.0,0,Transient,172.0,0,1,Canceled,20-05-2015
Resort Hotel,1,102,July,27,4,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,110.7,0,1,Canceled,22-04-2015
Resort Hotel,0,115,July,27,4,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134.0,0,Transient,58.95,0,1,Check-Out,11/7/2015
Resort Hotel,0,102,July,27,4,2,5,2,0.0,1,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,73.8,0,2,Check-Out,11/7/2015
Resort Hotel,0,86,July,27,4,2,5,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,97.0,0,2,Check-Out,11/7/2015
Resort Hotel,0,78,July,27,4,2,5,2,0.0,1,HB,PRT,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240.0,0,Transient,139.0,0,2,Check-Out,11/7/2015
Resort Hotel,0,52,July,27,4,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,147.0,0,Transient,67.24,0,0,Check-Out,11/7/2015
Resort Hotel,0,29,July,27,4,2,6,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241.0,0,Transient,116.5,0,1,Check-Out,12/7/2015
Resort Hotel,1,101,July,27,4,2,6,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,96.3,0,1,Canceled,12/5/2015
Resort Hotel,0,109,July,27,4,2,6,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,123.0,0,1,Check-Out,12/7/2015
Resort Hotel,0,92,July,27,4,4,6,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,0,Contract,71.55,0,1,Check-Out,14-07-2015
Resort Hotel,0,92,July,27,4,4,6,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,0,Contract,71.55,0,1,Check-Out,14-07-2015
Resort Hotel,0,79,July,27,4,4,6,2,1.0,0,HB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250.0,0,Transient,149.0,0,1,Check-Out,14-07-2015
Resort Hotel,0,2,July,27,4,0,1,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,H,G,1,No Deposit,240.0,0,Transient,163.0,1,0,Check-Out,5/7/2015
Resort Hotel,0,30,July,27,4,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,C,0,No Deposit,8.0,0,Contract,79.5,0,0,Check-Out,5/7/2015
Resort Hotel,1,51,July,27,4,0,1,1,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,105.0,0,0,Canceled,29-05-2015
Resort Hotel,1,36,July,27,4,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,G,1,No Deposit,250.0,0,Transient,123.0,0,0,No-Show,4/7/2015
Resort Hotel,1,73,July,27,4,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,73.8,0,2,Canceled,13-05-2015
Resort Hotel,1,33,July,27,4,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,113.0,0,0,Canceled,16-06-2015
Resort Hotel,0,32,July,27,4,0,1,4,0.0,0,FB,PRT,Complementary,Direct,0,0,0,H,H,2,No Deposit,,0,Transient,0.0,0,1,Check-Out,5/7/2015
Resort Hotel,0,8,July,27,4,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,123.0,0,0,Check-Out,5/7/2015
Resort Hotel,0,100,July,27,4,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0,Transient-Party,73.8,1,1,Check-Out,6/7/2015
Resort Hotel,0,1,July,27,4,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,114.5,0,0,Check-Out,6/7/2015
Resort Hotel,0,100,July,27,4,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient-Party,73.8,0,2,Check-Out,6/7/2015
Resort Hotel,0,100,July,27,4,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0,Transient-Party,73.8,0,1,Check-Out,6/7/2015
Resort Hotel,0,9,July,28,5,1,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,0,Transient,88.2,0,1,Check-Out,6/7/2015
Resort Hotel,1,5,July,28,5,1,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,97.0,0,0,Canceled,1/7/2015
Resort Hotel,0,0,July,28,5,1,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,1,No Deposit,306.0,0,Transient,85.1,0,0,Check-Out,6/7/2015
Resort Hotel,0,9,July,28,5,1,0,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,184.0,0,Transient,89.0,0,0,Check-Out,6/7/2015
Resort Hotel,0,2,July,28,5,1,0,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,0,Transient,80.1,0,0,Check-Out,6/7/2015
Resort Hotel,0,2,July,28,5,1,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240.0,0,Transient,98.0,0,0,Check-Out,6/7/2015
Resort Hotel,0,9,July,28,5,1,0,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,184.0,0,Transient,101.0,1,0,Check-Out,6/7/2015
Resort Hotel,0,2,July,28,5,1,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,,0,Transient,167.0,0,1,Check-Out,6/7/2015
Resort Hotel,0,44,July,28,5,2,0,3,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,G,G,3,No Deposit,240.0,0,Transient,225.0,2,0,Check-Out,7/7/2015
Resort Hotel,0,80,July,28,5,2,0,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240.0,0,Transient,97.0,1,0,Check-Out,7/7/2015
Resort Hotel,0,97,July,28,5,2,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,87.3,0,2,Check-Out,9/7/2015
Resort Hotel,0,109,July,28,5,2,3,2,1.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,241.0,0,Transient,85.59,1,2,Check-Out,10/7/2015
